hgnc_symbol	SLA1216	SLA2015_281116	SLA3014	SLA3315	SLA416	SLA615	SLA715	c258	c757	c840	c844
ABHD13	0.24	1.55	0.63	3.17	0.27	0.78	0.71	0.05	0.12	0.24	0.04
ABHD14A	0	0.86	0	2.8	0.56	0.66	0.42	0	0	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	0.19	2.7	2.24	3.74	0.46	1	1.15	0.4	0.06	0	0
ABHD15	0.4	1.48	1.59	1.89	0.21	0.73	1.16	0	0.05	0	0
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	2.65	5.79	9.26	7.47	2.43	2.19	3.76	0	0.25	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	3.58	7.71	8.39	8.08	5.88	0.5	3.6	0.06	0.12	0.08	0
ABHD17AP1	0	0	0	0.17	0	0	0.28	0	0	0	0
ABHD17AP3	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	0	0.25	0	0	0	0	0	0	0	0	0
ABHD17AP5	0.59	0	0	0.5	0	0	0.42	0	0	0	0
ABHD17AP6	0	0	0	0	0.17	0	0.12	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	0.51	0.92	0.96	2.04	0.6	1.16	0.6	0	0.04	0.17	0
ABHD17C	0	0.11	0	0.35	0	0.12	0.06	0	0.02	0	0
ABHD18	1.11	2.85	2.53	6.3	0.42	2.31	2.23	0	0.11	0.04	0.16
ABHD2	2.22	8.33	5.93	12.64	1.19	7.3	5.27	1.49	0.55	0.53	0.15
ABHD3	0.18	3.12	3.5	9.76	0.91	5.56	2.9	0	0.11	0.29	0.14
ABHD4	3.46	2.36	2.06	2.05	2.46	0.6	1.21	0	0.05	0	0
ABHD5	1.15	0.98	4.14	2.97	0.64	0.83	1.21	0.16	0.15	0.58	0
ABHD6	0	0.54	0	0.99	0.13	0.84	0.28	0	0.01	0.09	0
ABHD8	0	0.21	0.96	0.48	0.22	0	0	0	0	0	0
ABI1	3.21	11.93	4.46	12.76	1.27	3.84	3.75	0.39	0.74	0.69	0.74
ABI1P1	0	0	0	0	0	0	0	0	0	0	0
ABI2	1.14	5.96	9.89	4.27	0.88	3.57	4.1	0	0.31	0.41	0.03
ABI3	0.21	2.37	5.08	4.58	0.95	1.87	3.52	0	0.07	0	0
ABI3BP	0.21	0.06	0	0.13	0.15	0	0.02	0	0	0	0
ABL1	1.35	1.56	3.02	3.01	0.35	2.68	1.81	0.14	0.23	0.15	0.12
ABL2	0.54	1.41	0.99	1.93	0.36	0.75	0.96	0	0.19	0.25	0.02
ABLIM1	5.46	17.9	12.08	36.64	3.78	6.19	6.45	0	1.28	2.32	0.03
ABLIM2	0.27	0.11	0.37	0.33	0.18	0	0.44	0	0.03	0	0
ABLIM3	5.42	13.05	1.64	2.14	1.66	0.58	1.6	0	0.02	0	0
ABO	0.07	0.14	0.06	0.04	0.05	0.29	0.11	0	0	0	0
ABR	5.63	12.72	31.75	12.35	3.5	16.94	24.44	0	1.11	5	0.49
ABRA	0	0.13	0	0.14	0	0	0.16	0	0	0	0
ABRACL	0.39	3.64	2.74	6.39	1.79	1.31	1.26	0	0.13	0.92	0
ABT1	0.05	1.31	0.65	2.28	0.35	0.63	1.02	0	0.06	0.07	0
ABT1P1	0	0	0	0	0.41	0	0	0	0	0	0
ABTB1	3.63	8.34	6.72	9.91	2.39	3.51	7.69	0	0.19	0.4	0
ABTB2	0.06	0.07	0.23	0.26	0	0.07	0.07	0	0.02	0.04	0
AC000032.2	0	0	0	0	0	0	0	0	0	0	0.69
AC000035.3	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	0.15	0	0	0	0	0	0	0	0	0	0
AC000041.10	0	0	0	0	0	0	0	0	0	0	0
AC000041.8	3.68	13.38	65.39	5.69	0	0	0	0	2.53	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	0	0	0	0	0	0	0	0	0	0	0
AC000068.5	0.29	0.04	0	0.06	0.22	0.06	0	0	0	0	0
AC000068.9	0	0	0	0.43	0.23	0.51	0.11	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	0	0.15	0	0.25	0	0.87	0.84	0	0	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	0	0	0	0	0	0.18	0	0	0	0	0
AC000095.12	0	0	0	0	0	0	0	0	0	0	0
AC000095.9	0.38	0.11	0	0.49	0	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0	0
AC000120.7	0	1.38	1.03	1.66	0.19	0.74	0.37	0	0.03	0	0
AC000123.2	0.29	1.67	1.44	4.39	0.18	1.27	1.24	0	0.05	0.21	0
AC000123.3	0	1.37	2.61	1.36	0	1.55	0	0	0	0.72	0
AC000123.4	0	1.4	1.09	2.64	0	0.65	0.31	0	0	0	0
AC000124.1	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0.78	0	0	0	0	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0
AC000403.4	0.12	0.07	0.11	0.11	0	0	0	0	0	0	0
AC001226.7	0	0.2	0	0	0	0	0	0	0	0	0
AC002044.1	0	0.3	0.46	0.63	0	0	0	0	0	0	0
AC002044.3	1.01	0.2	2.02	0.7	0	0	0	0	0	0	0
AC002044.4	0	0	0	0	0	0	0	0	0	0	0
AC002056.3	0	0	0	0.22	0	0	0	0	0	0	0
AC002056.5	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	0.24	0	0	0	0	0	0	0	0	0
AC002064.4	0.85	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	0	0	0	0	0
AC002064.7	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	0	0	0	0.35	0	0	0	0	0	0	0
AC002069.5	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	0	0	0	0	0	0	0	0	0	0	0
AC002076.10	0.7	0	0	0	0	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0	0	0	0
AC002116.7	0	0	0	0	0	0	0	0	0	0	0
AC002116.8	0	0	0	0	0	0	0.32	0	0	0	0
AC002117.1	0	3.4	0	2.59	0	0	0	0	0	0	0
AC002127.2	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0
AC002128.5	0	0.34	0	0.57	0	0	0	0	0	0	0
AC002306.1	0	0.21	0	0.49	0.18	0	0	0	0	0	0
AC002310.10	0	0.28	0	0	0	0	0	0	0	0	0
AC002310.11	0	0	0	0	0	0	0	0	0	0	0
AC002310.12	1.12	0.69	0	0.2	0	0.76	0	0	0	0	0
AC002310.13	0	0	0	0	0	0	0	0	0	0	0
AC002310.14	0	0.07	0.3	0.21	0	0.09	0.09	0	0	0	0
AC002310.17	0	0	0	0	0	0	0	0	0	0	0
AC002310.7	0.7	0.18	0	0	0	0	0.03	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0
AC002366.3	0	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0.15	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0
AC002398.11	0	0	0	0.24	0	0	0	0	0	0	0
AC002398.12	0	0	0	0	0	0	0	0	0	0	0
AC002398.13	0	0	0	0	0	0	0	0	0	0	0
AC002398.9	0	0.88	0	0.7	0	0	0.16	0	0	0	0
AC002400.1	0	2.24	1.33	4.13	0.24	1	1.34	0	0.22	0	0
AC002401.1	0	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0.05	0	0.08	0	0	0.09	0	0	0	0
AC002451.3	0	0	0	0.21	0	0	0	0	0	0	0
AC002454.1	0.46	0	0	0	0	0	0	0	0	0	0
AC002456.2	0	0	0	0	0	0	0	0	0.12	0	0
AC002463.3	0.13	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	0	0.2	0	1.05	0	0	0	0	0	0	0
AC002472.11	0	0	0	0	0	0	0	0	0	0	0
AC002480.2	0	0.1	0	0	0	0.05	0.04	0	0	0	0
AC002480.3	0.25	0.08	0	0	0	0.09	0.35	0	0	0	0
AC002480.4	0	0.19	0	0.33	0	0	0	0	0	0	0
AC002480.5	0	0.43	0	0.11	0	0.3	0.23	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0.26	0	0	0	0	0	0	0	0	0
AC002511.3	0	0	0	0	0.16	0	0	0	0.02	0	0
AC002519.6	0	0	0	0	0	0	0	0	0	0	0
AC002519.8	0.53	0	0	0.09	0	0.04	0	0	0	0	0
AC002523.1	0	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0
AC002543.2	0	0.64	0.55	1.33	0.16	0.25	0.24	0.14	0.06	0	0
AC002550.5	0	0	0	0	0	0	0	0	0	0	0
AC002550.6	0	1.25	0	1.2	0	0	0	0	0	0	0
AC002551.1	0.3	0	0	0	0	0	0.51	0	0	0	0
AC002553.4	0	0	2.31	0.81	0	0	0	0	0	0	0
AC002984.2	0	0	1.37	0.47	0	0.41	0	0	0.06	0	0
AC002985.3	0	0.54	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0	0
AC003002.6	0	0.12	0	0	0	0.51	0.25	0	0	0	0
AC003003.5	0	0	0	0	0	0	0	0	0	0	0
AC003005.2	0	0	0	0	0	0	0	0	0	0	0
AC003005.4	0	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	0.6	0	1.45	0	0.53	0	0	0	0.33	0
AC003009.1	0.25	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0	0
AC003075.4	0	0.2	0	0	0	0.26	0	0	0	0	0
AC003080.4	0	0	0	0	0	0	0	0	0	0	0
AC003084.2	0	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	0	0	0	0	0	0	0	0	0
AC003090.1	0	0.05	0	0	0	0	0	0	0	0	0
AC003092.1	0	0	0	0	0	0	0	0	0	0	0
AC003092.2	0	0	0	0	0	0	0	0	0	0	0
AC003104.1	0.1	1.9	0.28	3.21	0.31	1.24	1.03	0	0.21	0	0
AC003664.1	0	0	0	0	0	0	0	0	0	0	0
AC003682.16	0	0	0	0	0	0	0	0	0	0	0
AC003956.1	0	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	0	0	0	0	0	0	0	0	0
AC003958.6	0	0	0	0	0	0	0	0	0	0	0
AC003973.3	0.21	0.25	0.27	0.89	0	0.21	0.39	0	0.01	0.08	0
AC003973.4	0	0	0	0	0	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0.04	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	0	0	0	0	0	0	0	0	0	0
AC003986.6	0	0	0	0	0	0	0	0	0	0	0
AC003986.7	0	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0
AC003989.3	0	4.94	0	0	0	0	0	0	0	0	0
AC003989.4	0	0.76	0	1.97	1.3	0.57	0	0	0	0	0
AC003991.3	0	0.37	0	0	0	0.15	0	0	0.05	0	0
AC004004.2	0	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	0	0	0	0	0	0	0
AC004009.1	0	0	0	0	0	0	0	0	0	0	0
AC004009.2	0	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	0.69	0	0	0	0	0	0	0	0	0	0
AC004014.3	0	0	0	0	0	0	0	0	0	0	0
AC004019.10	0	0	0	0	0	0	0	0	0	0	0
AC004019.13	0.08	0	0	0	0.08	0	0	0	0	0	0
AC004022.7	0	0	0	0	0	0	0	0	0	0	0
AC004022.8	0.15	0	0	0	0	0	0	0	0	0	0
AC004051.2	0	0	0	0	0	0	0	0	0	0	0
AC004053.1	0.1	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0	0
AC004057.1	0	1.79	0	0	8.34	0.36	0	0.38	0.62	0	0
AC004062.2	0	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	0	0	0	0	0
AC004066.2	0	0	0	0	0	0	0	0	0	0	0
AC004066.3	0	0	0	0	0	0	0	0	0	0	0
AC004067.5	0	2.49	0	2.17	0	1.26	1.21	0	0	0.39	0
AC004069.1	0	0.17	0	0	0	0	0	0	0	0	0
AC004069.2	1.03	0	0	0.68	0	0.3	0.29	0	0	0	0
AC004070.1	0	0	0	0	0	0	0	0	0	0	0
AC004074.4	0	0	0	0	0	0	0	0	0	0	0
AC004076.5	0	0.29	0.12	0.12	0	0.03	0.03	0	0.01	0	0
AC004076.7	0	0	0	0	0	0	0	0	0	0	0
AC004076.9	3.17	0.94	0	0	0	0.23	0	0	0.05	0	0
AC004112.4	0	0	0	0	0	0	0	0	0	0	0
AC004125.3	0	0	0	0	0	0	0	0	0	0	0
AC004129.7	0	0	0	0	0	0	0	0	0	0	0
AC004129.9	0	0	0	0	0	0	0	0	0	0	0
AC004156.3	0.13	0.08	0	0	0	0	0	0	0.01	0	0
AC004158.1	0	0	0	0	1.15	0	0	0	0	0	0
AC004158.3	0	0	0	0	0.03	0	0.08	0	0	0.05	0
AC004160.4	0	0	0	0	0	0	0	0	0	0	0
AC004221.2	0	0	0	0	0	0	0	0	0	0	0
AC004231.2	0	0	0	0	0	0	0	0	0	0	0
AC004237.1	0.22	0.26	0	0.76	0	0.52	0	0	0.04	0	0
AC004257.1	0	0	0	0	0	0	0	0	0	0	0
AC004381.6	0	0.18	0	0	0	0.05	0.27	0	0	0	0
AC004381.7	0	0	0	0	0	0	0	0	0	0	0
AC004381.8	0	0	0	0	0	0	0	0	0	0	0
AC004383.3	0	0	0	0	0	0	0	0	0	0	0
AC004386.3	0	0	0	0	0	0	0	0	0	0	0
AC004386.4	0	0	0	0	0	0	0	0	0	0	0
AC004448.2	0	0	0	0	0	0	0	0	0	0	0
AC004448.5	0.2	0	0	0	0	0	0	0	0	0	0
AC004449.6	0	0	0	0	0	0	0	0	0.12	0	0
AC004453.8	0	0.3	0	2.24	0	0	0.93	0	0	0	0.94
AC004461.4	0	0	0	0	0	0	0	0	0	0	0
AC004471.10	0	0	0	0	0	0	0	0	0	0	0
AC004471.9	0	0.55	0	0.31	0	0	0.52	0	0	0	0
AC004485.3	0	0	0	0	0	0	0	0	0	0	0
AC004490.1	0	0.03	0	0.29	0	0	0	0	0	0	0
AC004510.3	0	0	0	0	0	0	0	0	0	0	0
AC004535.2	0	0	0	0	0	0	0	0	0	0	0
AC004538.3	0.07	1.41	0	0.07	0	0	0	0	0	0	0
AC004540.4	1.74	0.35	0	0.58	0.37	0	0	0	0	0	0
AC004540.5	0	0	0	0	0	0	0.27	0	0	0	0
AC004543.2	0	0	0	0	0	0	0	0	0	0	0
AC004549.6	0	0.08	0	0	0	0	0	0	0	0	0
AC004593.3	0	1.38	0	3.85	1.27	0	0.51	0	0	0.66	0
AC004603.4	0	0	0	0	0	0	0	0	0	0	0
AC004623.2	0	1.34	0	0	0	0	0	0	0	0	0
AC004623.3	0.47	0.28	0.19	0.14	0	0	0	0	0	0	0
AC004637.1	0	0	0	0	0	0	1.4	0	0.11	0	0
AC004691.5	0	0	0	0	0	0	0	0	0	0	0
AC004692.4	0	0	0	0	0	0	0	0	0	0	0
AC004692.5	0	0	0	0	0	0	0	0	0	0	0
AC004702.2	0	0	0	0	0	0	0	0	0	0	0
AC004744.3	0	0	0	0	0	0	0	0	0	0	0
AC004754.3	0	0	0	0	0	0	0	0	0	0	0
AC004775.5	0	0	0	0	0	0	0	0	0	0	0
AC004791.2	0	0.34	0	0	0	0	0	0	0	0	0
AC004792.1	0	0	0	0	0	0	0	0	0	0	0
AC004813.1	0	0	0	0	0	0	0.55	0	0	0	0
AC004824.1	0	0	0	0	0	0	0	0	0	0	0
AC004837.3	0	0	0	0	0	0	0	0	0	0	0
AC004837.4	0	0	0	0	0	0	0	0	0	0	0
AC004837.5	0	0	0	0.45	0	0	0.19	0	0	0	0
AC004840.8	0	0	0	0	0	0	0	0	0	0	0
AC004854.4	0	0	0	0	0	0	0	0	0	0	0
AC004854.5	0	0	0	0	0	0	0	0	0	0	0
AC004862.6	0	0	0	0	0	0	0	0	0.12	0	0
AC004866.1	0	0	0	0	0	0	0	0	0	0	0
AC004866.3	0	0	0	0	0	0	0	0	0	0	0
AC004869.2	0	0	0	0	0	0	0	0	0	0	0
AC004869.3	0	0	0	0	0	0	0	0	0	0	0
AC004870.3	0	0	0	0	0	0	0	0	0	0	0
AC004870.4	0	0	0	0	0	0	0	0	0	0	0
AC004870.5	0	0	0	0	0	0	0	0	0	0	0
AC004878.2	0	0	0	0.21	0	0	0	0	0.06	0	0
